Gen#160, Fitness: 25.61777677821853
Gen#161, Fitness: 25.61777677821853
Gen#162, Fitness: 25.61777677821853
Gen#163, Fitness: 25.61777677821853
Gen#164, Fitness: 25.61777677821853
Gen#165, Fitness: 25.61777677821853
Gen#166, Fitness: 25.61777677821853
Gen#167, Fitness: 25.61777677821853
Gen#168, Fitness: 25.61777677821853
Gen#169, Fitness: 25.61777677821853
Gen#170, Fitness: 25.61777677821853
Gen#171, Fitness: 25.61777677821853
Gen#172, Fitness: 25.61777677821853
Gen#173, Fitness: 25.61777677821853
Gen#174, Fitness: 25.61777677821853
Gen#175, Fitness: 25.61777677821853
Gen#176, Fitness: 25.61777677821853
Gen#177, Fitness: 25.61777677821853
Gen#178, Fitness: 25.61777677821853
Gen#179, Fitness: 25.61777677821853
Gen#180, Fitness: 25.61777677821853
Gen#181, Fitness: 25.61777677821853
Gen#182, Fitness: 25.61777677821853
Gen#183, Fitness: 26.87747657480332
Gen#184, Fitness: 26.87747657480332
Gen#185, Fitness: 26.87747657480332
Gen#186, Fitness: 26.87747657480332
Gen#187, Fitness: 26.87747657480332
Gen#188, Fitness: 26.87747657480332
Gen#189, Fitness: 26.87747657480332
Gen#190, Fitness: 26.87747657480332
Gen#191, Fitness: 26.87747657480332
Gen#192, Fitness: 26.87747657480332
Gen#193, Fitness: 26.87747657480332
Gen#194, Fitness: 26.87747657480332
Gen#195, Fitness: 26.87747657480332
Gen#196, Fitness: 26.87747657480332
Gen#197, Fitness: 26.87747657480332
Gen#198, Fitness: 26.87747657480332
Gen#199, Fitness: 26.87747657480332
Gen#200, Fitness: 26.87747657480332
